"dates","titles","paragraphs"
"2019-05-06","[너의 이름은] 유니클로 영문명 UNICLO→UNIQLO 로 바뀐 사연","기준으로 매출과 영업이익은 1조3732억원, 2344억원을 기록해 각각 전년동기대비 11%와 33% 증가했다.  국내에서 단일 패션 브랜드가 4년 연속 1조원 이상의 매출을 기록한 건 유니클로가 처음이다. 국내 패션 대기업인 삼성물산 패션부문(1조7590억원), LF (1조7120억원), 한섬(1조2992억원)의 지난해 매출과 비슷한 수준이다. 2010년 이후 패션업계는 불황을 이어왔지만 오히려 유니클로는 성장을 거듭하며 국내 시장에서의 지배력을 높이고 있다."
"2019-05-03","FT ""엘리엇이 제기한 ISD, 문재인 정부 발목 잡을 것""","작년 7월 미국계 헤지펀드 엘리엇매니지먼트가 한국 정부를 상대로 제기한 투자자-국가 간 소송(ISD)이 문재인 정부를 꼬이게 하고 있다는 외신 보도가 나왔다. 정부는 삼성물산과 제일모직 합병 과정에서 국민연금이 찬성한 게 잘못이라고 보고 있지만, ISD에서 이기려면 이를 뒤집어야 한다는 분석이다.  영국 파이낸셜타임스(FT)는 엘리엇이 한국 정부에 제기한 ISD와 관련해 네덜란드 헤이그 상설중재재판소(PCA)에 제출한 진술을 확보했다며 3일자로 이같이"
"2019-05-03","금주(4월26일~5월2일)의 신설법인","▷에이치제이라인(이진하·300·국제물류 주선업(포워딩)) 강남구 봉은사로 430, 306호 (삼성동)  ▷와이제이티엔티(정철승·100·일반 개별용달, 화물자동차 운송 및 주선사업) 용산구 ...ddot;농산물의 유통·가공·판매) 구로구 디지털로31길 12, 18층 (구로동,태평양물산빌딩)  ▷농업회사법인팜로얄(이영준·300·농산물의 유통·가공·판매)"
"2019-05-02","[부고] 고일호 대한예수교장로회 영은교회 담임목사 별세","모친상, 이선영씨 시모상=1일 서울아산병원 발인 3일 오전 8시20분 02-3010-2294  정하희씨 별세, 김상철 삼성물산 건설부문 수석·현주 EBS PD·민희 처브라이프생명보험 전산실 부장·민영씨 모친상, 권현정씨 시모상, 우종관 제주대 물리학과 교수·박재혁 (주)아미아이티 이사 장모상=1일 삼성서울병원 발인 4일 오전 7시 02-3410-6919  주영애씨 별세, 이연희 한양대 의류학과 교수 모친상, 한상종씨 장모상,"
"2019-05-01","'국정농단 최종판결' 16일 선고 가능성…'말 3마리 뇌물액' 쟁점","이재용 삼성 부회장 횡령 액수와 직결…총액 50억 이상이면 집유 힘들어  삼바 분식회계도 변수…영재센터 16억 '뇌물·횡령' 판단과 맞물려  헌정 초유의 대통령 탄핵과 정권교체를 ... 이런 가운데 최근의 검찰 수사가 또다른 변수가 되는 게 아니냐는 관측이 제기된다.  검찰은 2015년 제일모직과 삼성물산의 합병을 앞두고 제일모직 자회사 격인 삼성바이오로직스 분식회계가 벌어졌다는 의혹을 수사하고 있고, 의혹을 뒷받침하는"
"2019-04-30","""조달청, 한은 별관 예정가 초과입찰로 462억원 예산낭비 우려""","관련 공익감사' 결과에 따르면 조달청은 2017년 12월 한은 별관공사의 낙찰예정자로 입찰예정가(2천829억원)보다 3억원 높은 금액(2천832억원)을 써낸 계룡건설을 1순위 시공사로 선정했다.  당시 차순위 업체는 삼성물산으로 계룡건설의 입찰예정가보다 589억원 적은 2천243억원을 적어냈다.  삼성물산은 계룡건설이 1순위로 선정되자 예정가격을 초과한 입찰 허용이 부당하다는 이의신청을 제기했다.  조달청은 이런 이의제기가 있었는데도 국가계약법령 소관"
"2019-04-30","""강남3구 아파트, 절반 이상 3040세대 구매""","'디에이치 포레센트'가 분양중이다. 현대건설이 짓는 아파트로 전용면적 59~121㎡의 184가구이며, 이 중 62가구를 일반에 공급한다. 전용 59㎡의 경우 13억2000만원대, 84㎡는 16억4000만원대다.  삼성물산이 강남구 삼성동에서 ‘래미안 라클래시’를 내놓는다. 총 679가구 중 전용면적 71·84㎡ 115가구가 일반분양 예정이다.  김하나 한경닷컴 기자  hana@hankyung.com"
"2019-04-30","전일, 거래소 외국인 순매도상위에 전기,전자 업종 3종목","외국인 투자자는 29일 거래소에서 SK하이닉스, 삼성전기, 한국전력 등을 중점적으로 매도한 것으로 나타났다.  외국인 투자자의 순매도 상위 20개 종목은 SK하이닉스, 삼성전기, 한국전력, 아모레퍼시픽, 현대모비스, 삼성전자우, 현대차, 삼성물산, S-Oil, POSCO등이다.  이중에 전기,전자 업종에 속한 종목이 3개 포함되어 있다.  SK하이닉스, 한국전력, 현대모비스 등은 전일 대비 주가가 상승했고, 삼성전기, 아모레퍼시픽, S-Oil 등은"
"2019-04-29","'조정대상' 규제 풀린 부산 3개구 분양 봇물","부산 전체 공급 예정 물량(2만7331가구)의 절반에 해당한다. 규제가 해제된 부산 비조정지역에서는 청약 통장에 가입한 뒤 6개월이 지나면 1순위 청약 자격을 얻는다. 5년 내 주택 당첨 이력과 무관하게 청약을 넣을 수 있다.  삼성물산은 오는 6월 부산진구에서 ‘래미안 연지 2구역’(조감도)을 분양한다. 총 2616가구 규모로 이 가운데 전용면적 51~126㎡ 1360가구가 일반분양된다. 연지초가 아파트와 인접하고 있고 초연중, 초읍중, 부산진고"
"2019-04-29","일하는 장애인 위한 비즈니스 캐주얼 브랜드 '하티스트'","‘일하는 장애인을 위한 비즈니스 캐주얼 전문 브랜드.’  삼성물산 패션부문은 패션 대기업 중 처음으로 휠체어를 타는 장애인을 위한 브랜드 ‘하티스트’를 내놨다. 하티스트는 장애인의 신체적 ... ‘디자인’ ‘기성복’의 특징을 고루 갖춘 브랜드로 개발했다. 패션전문가와 삼성서울병원 재활의학과 전문의, 사단법인 장애인먼저실천운동본부와 함께 제품을 개발했다. 실제 장애인을 대상으로 수백 회의"
"2019-04-29","삼바 분식회계, 첫 구속수사 되나…삼성그룹 차원 증거인멸 정황","삼성바이오로직스의 4조5000억원대 분식회계 의혹 관련 증거인멸 혐의 등을 받고 있는 자회사 삼성바이오에피스 임직원들에 대한 구속 심사가 29일 열린다. 수사가 시작된 이후 첫 구속 심사를 밟는 것이다.  서울중앙지법 신종열 영장전담 ... 주목하고 있다. 삼성은 2017년 2월 콘트롤타워 역할을 하던 미래전략실을 공식 해체했다. 기존 미전실 업무는 삼성전자·삼성생명·삼성물산 산하 3개 TF로 분산됐지만, 그룹 차원의 핵심 임무는 삼성전자 사업지원"
"2019-04-29","올 2분기 분양 시장 살펴보니유료","감일지구 등에서도 5376가구의 아파트가 공급된다. 강남3구 물량 중 눈길을 끄는 곳은 ‘방배그랑자이’다. 4월 분양이 진행되는데 전체 758가구 중 전용 59~84㎡ 256가구가 일반 분양 물량이다.  삼성물산도 5월 삼성동 상아2차아파트를 재건축하는 ‘래미안 라클래시’의 679가구 중 전용 71~84㎡ 115가구를 분양할 예정이다. 또 GS건설은 서초동 무지개아파트를 재건축하는 ‘서초그랑자이’를,"
"2019-04-29","코스피, 환율 안정에 장중 2200선 회복…호실적주 '강세'","기관이 각각 655억원과 618억원의 순매수다. 개인은 1237억원의 매도 우위다. 프로그램은 차익과 비차익이 모두 순매수로 1276억원의 매수 우위를 나타내고 있다.  종이목재를 제외한 전업종이 상승세다. 시가총액 상위종목들도 삼성바이오로직스 삼성물산 SK이노베이션 등을 빼고 대부분 오름세다.  1분기 호실적을 발표한 호텔신라 현대위아 현대글로비스 등이 3~8%의 강세다.  코스닥지수도 엿새 만에 반등을 시도하고 있다. 8.28포인트(1.12%) 오른 749.28이다."
"2019-04-29","'삼바 증거인멸' 그룹 개입 정황…자회사 임직원 영장심사","검찰, 분식회계 자료 삭제한 삼성전자TF 임원 소환조사  삼성바이오에피스 2명 구속 여부 오늘 결정…'묵묵부답' 법정으로  삼성바이오로직스 분식회계 의혹을 수사하는 검찰이 회계자료의 조직적 은폐·조작 ... 주목하고 있다.  삼성은 2017년 2월 콘트롤타워 역할을 하던 미래전략실을 공식 해체했다.  기존 미전실 업무는 삼성전자·삼성생명·삼성물산 산하 3개 TF로 분산됐지만, 그룹 차원의 핵심 임무는 삼성전자 사업지원"
"2019-04-29","검찰 '분식회계 증거인멸' 삼성전자TF 임원 소환조사","삼성바이오 자회사 임직원 2명 구속 여부 오늘 결정  삼성바이오로직스 분식회계 의혹을 수사하는 검찰이 회계자료의 조직적 은폐·조작 정황을 밝히는 데 수사력을 모으고 있다.  증거인멸이 그룹 차원에서 어떻게 이뤄졌는지 ... 주목하고 있다.  삼성은 2017년 2월 콘트롤타워 역할을 하던 미래전략실을 공식 해체했다.  기존 미전실 업무는 삼성전자·삼성생명·삼성물산 산하 3개 TF로 분산됐지만, 그룹 차원의 핵심 임무는 삼성전자 사업지원"
"2019-04-29","매출, 법인세 가장 많은 건설사는 '삼성물산'","지난해 시공능력 평가 상위 10대 건설사 중 삼성물산이 압도적으로 많은 법인세(3679억원)를 사업보고서에 공시한 것으로 나타났다.  29일  조세일보(  www.joseilbo.com  )가 포스코건설 현대엔지니어링 SK건설 HDC현대산업개발 현대건설 대우건설 GS건설 롯데건설 대림산업 삼성물산 등 국내 시공능력평가 상위 10위 건설사의 사업보고서를 분석한 결과, 이들이 공시한 법인세액은 총 1조6548억원 규모였다.  국토교통부가"
"2019-04-28","대우건설 '장위6구역' 수주","거점 중 하나라는 평가를 받고 있다. 사업장 인근에 서울 선곡초, 광운초, 남대문중이 있다. 이마트, 현대백화점, 롯데백화점, 장위시장 등 다양한 생활편의시설이 가깝다.  장위6구역은 공사비 협상 난항으로 작년 8월 기존 시공사였던 삼성물산·포스코건설과의 계약을 해지하고 새롭게 입찰을 진행하면서 업계의 큰 관심을 받았다. 대우건설 관계자는 “이번 수주는 대우건설이 새로운 푸르지오를 적용해 제안한 특화설계와 장위10구역, 행당7구역 등 서울 강북지역"
"2019-04-28","'순환출자 고리 열쇠' 현대모비스…중간지주사 전환 추진 중인 SKT 관심","등 미래 성장사업에 자유롭게 투자할 수 있다”고 말했다.  삼성물산·현대그린푸드도 관심  이재용 삼성전자 부회장(17.23%) 등 총수 일가 지분율이 높아 삼성그룹에서 사실상 지주회사 역할을 하고 있는 삼성물산을 눈여겨봐야 한다는 의견도 나왔다. 삼성물산이 그룹 핵심 회사인 삼성전자에 대한 지배력을 유지하려면 삼성생명과 삼성화재 등이 보유한 삼성전자 지분을 사들여야 한다. 현대백화점그룹의 실질적인 지주사로 부상한 현대그린푸드의 잠재력에 주목하는"
"2019-04-28","청약시장의 바로미터…강남 분양 스타트","등의 재건축이 마무리되는 시점이어서 소음과 분진 등에 시달릴 염려가 없다. 아파트는 지상 최고 22층, 4개 동, 184가구로 이뤄진 소형 단지다. 일반분양 물량은 전용 59~121㎡ 62가구다. 30일 1순위 청약이 예정됐다.  삼성물산은 다음달 강남 한복판에서 ‘래미안 라클래시’를 분양한다. 삼성동 상아2차를 재건축하는 단지다. 지상 최고 35층, 7개 동, 679가구 가운데 115가구가 일반에 분양된다. 전용 71㎡ 44가구와 84㎡ 71가구다."
"2019-04-28","실적 발표 상장사 1분기 영업익 작년비 42% 감소","41.50%나 감소한 수준이다.  무엇보다도 전자, 화학 등 주력 수출산업의 부진이 뚜렷했다.  시가총액 1위 기업인 삼성전자는 반도체 업황의 하락으로 인해 올해 1분기 영업이익이 6조2천억원으로 작년 동기(15조6천422억원)보다 60.4% ... 영업손실은 평균 914억원 수준이었지만 실제 영업적자 규모는 1천320억원으로 예상치를 약 44% 초과했다.  삼성물산도 상사 부문의 주요 원자재 가격 하락, 자회사 삼성바이오로직스의 3공장 가동에 따른 감가상각비 등 비용 증가로 인해"
"2019-04-26","[사설] 산업 이을 '산업 부재'의 위기가 뚜렷해지고 있다","1%대 초반에 그칠 것이란 우려와 달리 1.4%로 비교적 선방했다. 한국의 1, 2위 교역 상대국은 훈풍인데 한국만 ‘칼바람’이다.  더 심각하게 들여다봐야 할 것은 주력산업의 노쇠화다. 상장기업들의 1분기 실적을 보면 삼성전자 SK하이닉스 등 반도체 외에도 LG화학 삼성물산 LG디스플레이 등 간판 기업들의 부진이 두드러졌다. 현대자동차 포스코 등 자동차·철강 기업들은 예상보다 선전했지만 예전 같은 활력과는 거리가 멀다.  문제는 이들"
"2019-04-26","금주(4월19~4월25일)의 신설법인 1074개","601호 (소공동,소공빌딩)  ▷코리아메디케어솔루션(이훈근·100·일반여행업) 강남구 삼성로 646, 8층 (삼성동,마디빌딩)  ▷트립핏(송민근·43·국내여행업) 중구 남대문로 117, ... ▷창용(이창훈·1·의료기 도.소매) 성북구 동소문로 18-1, 3층 (동소문동2가,애산빌딩)  ▷천수물산(황성인·30·수산물 도,소매업) 강남구 강남대로122길 55 (논현동)  ▷초우리테일"
"2019-04-26","전일, 기관 거래소에서 SK하이닉스(+2.17%), KODEX 200선물인버스2X(+0.36%) 등 순매도","기관 투자자는 25일 거래소에서 SK하이닉스, KODEX 200선물인버스2X, 삼성바이오로직스 등을 중점적으로 매도한 것으로 나타났다.  기관 투자자의 순매도 상위 20개 종목은 SK하이닉스, KODEX 200선물인버스2X, 삼성바이오로직스, 삼성물산, SK이노베이션, 아시아나항공, 삼성전기, KODEX 코스닥150 레버리지, 기아차, POSCO등이다.  이중에 전기,전자 업종에 속한 종목이 3개 포함되어 있다.  SK하이닉스, KODEX 200선물인버스2X,"
"2019-04-26","전일, 거래소 외국인 순매도상위에 전기,전자 업종 4종목","외국인 투자자는 25일 거래소에서 삼성전자, LG디스플레이, 삼성물산 등을 중점적으로 매도한 것으로 나타났다.  외국인 투자자의 순매도 상위 20개 종목은 삼성전자, LG디스플레이, 삼성물산, S-Oil, 한진칼, NAVER, 현대중공업, LG화학, 현대건설, 아시아나항공등이다.  이중에 전기,전자 업종에 속한 종목이 4개 포함되어 있다.  LG화학, 현대건설, KODEX 인버스 등은 전일 대비 주가가 상승했고, 삼성전자, LG디스플레이, 삼성물산"
"2019-04-25","한국 간판기업 줄줄이 실적쇼크…""2분기엔 영업 10 줄어들 것""","기업(영업이익 1000억원 이상 대기업) 가운데 영업이익 확정치가 발표 전 컨센서스보다 10% 이상 줄어든 곳은 삼성전자 LG화학 삼성물산 LG디스플레이다. 삼성전자와 LG화학의 영업이익은 6조2000억원과 2753억원으로 컨센서스를 ... 컸다. 중국 성장률이 1분기 예상보다 호전된 것으로 나왔지만 IT 등 주요 제품의 수요 감소는 피해가지 못했다. 삼성전자와 LG디스플레이는 전방산업인 스마트폰 시장이 위축되면서 모바일용 반도체와 중소형 OLED(유기발광다이오드)가"
"2019-04-25","'삼바 수사' 속도…, 임직원 2명 영장","삼성바이오로직스의 ‘분식회계’ 의혹을 수사하는 검찰이 자회사인 삼성바이오에피스 임직원 2명에 대해 구속영장을 청구하면서 수사에 속도를 내고 있다. 지난해 11월 수사를 시작한 이후 처음으로 구속영장을 신청한 ... 뒤집은 것도 검찰이 자신감을 보이는 이유다. 이들은 과거 금융당국과 법원에서의 진술과 달리 “2015년 삼성물산 합병 전까지 핵심 계약사항인 콜옵션 약정을 몰랐다”는 취지로 진술한 것으로 전해졌다.  법조계에선 “7월"
"2019-04-25","5월 전국서 4만6000가구 분양 쏟아져…수도권 물량 60.5%","전망이다. 서울 강남권 재건축 물량과 대규모 재개발, 공공택지 등에 골고루 분양물량이 분포하고 있다.  지방은 광역시가 1만700여가구로 작년 동월 대비 48%가량 증가하는 반면 지방도시는 7616가구로 21%가량 줄어들 전망이다.  삼성물산은 서울 강남구 삼성동 상아2차 아파트를 재건축해 '래미안 라클래시'를 분양한다. 총 679가구 중 115가구가 일반분양분이다.  대우건설은 서울 동작구 사당동 사당3구역에 '이수푸르지오 더 프레티움'을"
"2019-04-25","5월 전국 4만6천가구 분양 예정…수도권 물량이 60.5%","전망이다.  서울 강남권 재건축 물량과 대규모 재개발, 공공택지 등에 골고루 분양물량이 분포하고 있다.  지방은 광역시가 1만700여가구로 작년 동월 대비 48%가량 증가하는 반면 지방도시는 7천616가구로 21%가량 줄어들 전망이다.  삼성물산은 서울 강남구 삼성동 상아2차 아파트를 재건축해 '래미안 라클래시'를 분양한다.  총 679가구 중 115가구가 일반분양분이다.  대우건설은 서울 동작구 사당동 사당3구역에 '이수푸르지오 더 프레티움'을"
"2019-04-25","삼성물산 건설, 일회성 악재 만나 1분기 수익성 악화","…삼성물산 건설부문 최근 6년 분기별 영업실적. 2019년 1분기는 잠정실적. 자료=삼성물산  지난해 연간 최대 실적을 경신하며 호황을 누렸던 삼성물산 건설부문이 올 1분기에는 전년도보다 주춤한 채 한 해를 시작했다. 연초부터 ...) 원전 중재판결 결과 등으로 일회성 요인이 발생해 줄어들었다""고 설명했다. 로이힐 프로젝트의 경우 2015년 삼성건설이 연간 3450억원 수준의 대규모 적자를 볼 당시 가장 주된 원인이 됐던 사업장으로 지난달 협력사에 대한 일부"
"2019-04-25","""삼성물산, 1분기 영업이익 시장예상치 큰 폭 하회…목표가↓""-한국","한국투자증권은 25일 삼성물산의 1분기 연결 기준 영업이익이 1052억원으로 시장 예상치를 큰 폭으로 하회했다며 목표주가를 18만4000원에서 17만5000원으로 하향 조정했다. 투자의견은 매수를 유지했다.  윤태호 연구원은... 삼성바이오로직스의 실적 개선 시기도 예상보다 더디다는 점을 반영했다""고 했다.  윤 연구원은 ""중요한 시기에 삼성물산의 실적이 시장 기대치에 부응하지 못한 점은 아쉽다""며 ""현재 주가는 과거 수많은 악재를 버텨온"
"2019-04-24","삼바 회계사들 '분식회계' 사실상 인정…""콜옵션 몰랐다""","최근 검찰 소환…금융당국 조사 때 진술 번복  삼성바이오로직스 분식회계 의혹으로 수사를 받는 대형 회계법인 소속 회계사들이 최근 검찰 조사에서 핵심 진술을 뒤집은 것으로 알려졌다.  이들은 과거 금융당국과 법원에서의 ... 삼성바이오로직스 측 주장은 크게 힘을 잃을 것으로 보인다.  결국 검찰은 삼성바이오로직스 분식회계 의혹과 이재용 삼성전자 부회장 승계 과정의 연관성 등을 들여다볼 것으로 보인다.  검찰은 삼성 측이 2015년 삼성물산과 제일모직의"
"2019-04-24","LG화학, 영업이익 58% 감소 '실적 쇼크'","것”이라며 “올해 원통형 전지 수요가 30% 이상 늘어날 전망”이라고 설명했다.  삼성바이오로직스는 1분기 234억원의 영업손실을 내 적자전환했다. 실적 발표 전 컨센서스(증권사 추정치 평균)인 영업손실 ... 고정비 부담이 늘었다”며 “2분기까지 실적 둔화가 지속될 것”이라고 설명했다.  삼성물산은 올해 1분기 영업이익이 전년 동기 대비 49.7% 감소한 1051억원에 그쳤다. 순이익도 40.8% 줄어든 2224억원에"
"2019-04-24","2분기만 10개 단지…강남권 '알짜 분양' 쏟아진다","4160만원을 훌쩍 넘을 것으로 예상되고 있다. GS건설이 이달 서초구에서 공급하는 ‘방배그랑자이’(방배 경남 재건축)도 3.3㎡당 4200만~4500만원대로 전망되고 있다. 지하철 2호선 방배역 역세권이다. 삼성물산이 다음달 분양하는 강남구 삼성동 ‘래미안 라클래시’(상아2차 재건축)도 3.3㎡당 4300만~4500만원으로 예상되고 있다.  그외에도 GS건설이 서초동 무지개아파트를 재건축하는 ‘서초그랑자이’는"
"2019-04-24","단지 입구에 에어커튼·빌트인 공기청정…미세먼지 잡는 아파트 뜬다","미세먼지를 조금이라도 줄일 수 있는 아파트를 선호해서다. 주요 건설사는 실내 미세먼지부터 주차장의 공기 질까지 관리하는 환기 시스템을 선보이고 있다.  미세먼지 잡아라… 특화 시스템 경쟁 치열  24일 부동산업계 따르면 삼성물산, GS건설, 현대건설, 대림산업 등 주요 건설사들이 1년 내내 환기를 시키지 않아도 실내 공기 질을 유지할 수 있는 ‘공기 청정시스템’을 아파트에 도입할 계획이다.  GS건설은 차세대 공기 청정시스템 &ls"
"2019-04-24","일하는 장애인을 위한 비즈니스 캐주얼 브랜드 '하티스트'","‘일하는 장애인을 위한 비즈니스 캐주얼 전문 브랜드.’  삼성물산 패션부문은 패션 대기업 중 처음으로 휠체어를 타는 장애인을 위한 브랜드 ‘하티스트’를 내놨다. 하티스트는 장애인의 신체적 ... ‘디자인’ ‘기성복’의 특징을 고루 갖춘 브랜드로 개발했다. 패션전문가와 삼성서울병원 재활의학과 전문의, 사단법인 장애인먼저실천운동본부와 함께 제품을 개발했다. 실제 장애인을 대상으로 수백 회의"
"2019-04-24","[실적속보]삼성물산, 올해 1Q 영업이익률 3분기 연속 하락세... -1.6%p↓ (연결,잠정)","올해 1Q 매출액 73,570억원(-7.7%), 영업이익 1,052억원(-56.7%)... 연결,잠정  삼성물산(028260)은 24일 실적공시(연결,잠정)를 통해 올해 1분기 매출액이 전분기 대비 -7.7% 감소한 73,570억원, 영업이익이 -56.7% 줄어든 1,052억원으로 집계됐다고 밝혔다. 삼성물산은 패션/건설/레저/급식, 식자재유통 사업을 영위하는 업체로 알려져 있다.   올해 1분기 영업이익 컨센대비 -51.5% ↓  이번에 회사가"
"2019-04-24","코스피, 기관 매물에 하락…2200선 '턱걸이'","241억원을 순매수했다.  이영곤 하나금융투자 연구원은 ""IT 경기와 기업 실적에 대한 우려 등이 맞물려 삼성전자와 SK하이닉스 등 시가총액 상위 종목이 많이 하락하면서 지수 하락 폭이 커졌다""며 ""미국 기업 ... 삼성전자(-1.00%)와 SK하이닉스(-3.09%)를 비롯해 셀트리온(-1.58%), LG화학(-2.56%), 삼성바이오로직스(-2.29%), 현대모비스(-0.43%), POSCO(-0.96%), 삼성물산(-1.78%) 등이 내렸다."
"2019-04-24","코스피 상승 출발 후 혼조세…2,220선 전후 등락","357억원어치를 순매수했다.  반면 외국인과 기관은 각각 233억원, 56억원을 순매도했다.  시가총액 상위주 가운데는 삼성전자(0.11%) 현대차(2.21%), 삼성바이오로직스(0.13%), POSCO(0.57%), LG생활건강(0.90%) ... SK하이닉스(-1.11%), 셀트리온(-0.45%), LG화학(-0.67%), 현대모비스(-0.43%) 등은 내렸다.  삼성물산은 보합세다.  업종별로는 보험(0.61%), 운송장비(0.51%), 종이·목재(0.48%), 의료정밀(0.48%)"
"2019-04-23","KCC,  모멘티브 인수 위해 범현대 주식 장내매도 나서","지난 17일 기준 5.63%로 0.81%포인트 감소했다.  KCC는 증권가에서 대표적인 ‘주식부자주()’로 꼽힌다. KCC가 보유한 다른 상장회사 주식은 작년 말 기준 2조6194억원어치에 달한다. 삼성물산(지분율 8.97%)이 1조7945억원으로 가장 많고 이어 현대중공업(6006억원), HDC현대산업개발(502억원), 현대종합상사(446억원), 현대건설기계(350억원) 등 순이다. 삼성물산을 제외한 나머지는 대부분 ‘"
"2019-04-23","코스피 상승 출발 후 혼조세…2210대 등락","개인과 외국인이 각각 303억원, 45억원어치를 순매수했다.  기관은 403억원을 순매도했다.  시가총액 상위주 가운데는 셀트리온(-1.13%), LG화학(-0.81%), 삼성바이오로직스(-1.60%), POSCO(-0.76%), LG생활건강(-0.28%) 등이 내렸다.  삼성전자(0.11%), SK하이닉스(0.87%), 현대모비스(0.44%), 삼성물산(0.45%) 등은 오르고 현대차는 보합세다.  업종별로는 종이·목재(-1.27%),"
"2019-04-22","서리풀터널 오늘 개통…집 값에 미치는 영향은?","간의 단절을 가져와 골칫거리가 되기도 한다. 지역을 가로막은 거대한 자연물을 뚫는 터널 개통은 부동산 시장에 호재인 셈이다.  하지만 터널 개통 효과는 개통 전에 이미 반영됐다는 게 업계 관계자들의 얘기다. 실제로 지난해 입주를 마친 삼성물산의 사당1구역 재건축 '래미안 이수역 로이파크'(전용 84㎡)가 대표적인 아파트다. 2015년 분양 당시 분양가가 약 7억원이었지만, 작년에는 13억원까지 치솟았다. 2020년 입주 예정인 사당5구역 '사당"
"2019-04-21","""디지털 역량이 금융의 핵심 경쟁력…저축은행업계 카카오뱅크 되겠다""","자산 건전성도 어느 정도 확보됐다는 것. 정 사장은 “내년 강화될 3단계 충당금 기준을 올해 초 도입하는 등 지방은행 수준으로 건전성을 높이려는 노력을 해왔다”고 했다. 그는 “기업대출도 담보물, 중순위 대출 위주로 집행해 수년간 거의 손실이 나지 않았다”고 덧붙였다.  정 사장은 삼성물산, 삼성카드, 현대카드, 현대캐피탈을 거친 소매금융 전문가다.  김대훈/정지은 기자 daepun@hankyung.com"
"2019-04-21","래미안라클래시, 지하철 7호선 코앞…주변 개발호재도 '매력'","삼성물산이 다음달 서울 삼성동에서 ‘래미안라클래시’(조감도)를 분양한다. 상아2차아파트를 재건축하는 단지다. 지하철역을 바로 앞에 끼고 있고 주변 개발 호재를 품고 있는 아파트다.  단지는 최고 35층, 7개 ... 44가구와 84㎡ 71가구다. 모두 중소형 면적대다.  지하철 7호선 청담역이 바로 앞이다. 한 블록 거리엔 9호선 삼성중앙역과 분당선 강남구청역이 있어 강남·북 주요 지역 어디든 편리하게 이동할 수 있다. 올림픽대로와 영동대교,"
"2019-04-19","금주(4월12일~4월18일)의 신설법인 978개","(서초동)  ▷동양엘앤씨(조윤상·20·금속공사업) 강남구 봉은사로104길 7, 1층 6호 (삼성동)  ▷디자인디오(정진·50·실내건축공사업) 송파구 오금로18길 4, 3층 (송파동,아이디씨빌딩) ...ot;화물중개업) 금천구 가산디지털1로 168, A동 710호 (가산동,우림라이온스밸리)  광업  ▷에이치케이물산(정선자·100·광물 채취 및 판매업) 강남구 봉은사로 121, 3층 (논현동,대종빌딩)"
"2019-04-18","법원, '위장계열사 보유' 삼성 이건희 회장에 벌금 1억원","업계 1위 삼우건축사사무소·서영엔지니어링 신고 누락 혐의  이건희 삼성전자 회장이 업계 실적 1위인 삼우건축사사무소를 삼성 계열사로 보유하고도 제대로 신고하지 않은 혐의로 벌금 1억원을 선고받았다.  서울중앙지법 형사11단독 ... 있다.  앞서 공정위는 삼우가 회사 임원 소유로 돼 있으나 실제로는 1979년 법인 설립부터 2014년 8월까지 삼성종합건설(현 삼성물산)이 소유한 것으로 판단하고, 이 회장을 지난해 11월 검찰에 고발했다.  검찰은 이 회장 측과"
"2019-04-18","""BTS가 신었다""…준지 신발, 품귀 조짐","삼성물산 패션부문의 남성복 브랜드 ‘준지’의 신발이 화제다. 지난 13일 미국 TV프로그램인 SNL에 출연한 방탄소년단(BTS)이 준지 신발을 신고 나왔기 때문이다. 인스타그램 등을 통해 이 소식은 급속히 확산됐다.  BTS가 신고 출연한 신발은 작년 가을에 나온 준지 신발과 올봄 신상 신발 등 세 가지다. 멤버 지민이 신은 블랙 스니커즈는 지난가을에 출시된 ‘청키 힐 레이스 업 스니커즈’ 블랙 색상. 미국"
"2019-04-17","신주원, 다운충전재 품질 마케팅…프리미엄 '디보다운' 폭풍성장","기업이었던 주원농산에서 1998년 분리돼 20여 년간 국내 다운충전재 시장을 이끌어오고 있다.  신주원의 다운은 국내 아웃도어 시장의 폭풍적인 성장과 함께했으며 지속적인 연구 투자의 결과물인 뛰어난 품질로 주요 국내 브랜드인 삼성물산, LF, 코오롱FnC, 신성통상, 게스, 디스커버리, 네파, 데상트, 내셔널지오그래픽, 한세MK 등을 포함해 120여 개 패션 브랜드에 다운을 공급하고 있다.  철저한 원산지 관리는 물론이고 낮은 품질의 저가 제품은 일절 취급하지 않는"
"2019-04-16","삼성동에 5년 만에 새 아파트…'래미안 라클래시' 내달 분양","삼성물산이 다음달 서울 강남구 삼성동에서 상아2차 아파트를 재건축하는 ‘래미안 라클래시’(조감도)를 분양한다. 삼성동에서 5년 만에 공급되는 신규 아파트다.  ‘래미안 라클래시’는 지하 3층~지상 최고 35층, 7개 동, 총 679가구 규모로 조성되며 이 중 115가구가 일반에 나온다. 일반분양 가구 전체가 중소형인 전용면적 71㎡(44가구)와 84㎡(71가구)로 구성된다.  단지는 지하철 7호선 청담역이"
