"dates","titles","paragraphs"
"2020-06-01","세계 1등 제품으로 '코로나 허들' 넘는다","웃도는 사전 계약을 기록할 정도로 초기 반응도 좋은 편이다.  미래 먹거리로 ‘신시장’ 개척  SK그룹은 지난해 세계 1위 배터리 동박 제조사인 KCFT를 인수했다. 동박은 구리를 고도의 공정 기술로 얇게 만든 막으로 ... 정읍 5공장 건설에 착수했다. 지난해 2만4000t이던 동박 생산능력을 2021년까지 4만3000t으로 키운다. SK이노베이션의 윤활유 자회사인 SK루브리컨츠도 새로 적용되는 국제 규격을 충족한 프리미엄 엔진오일 ‘SK지크(Z"
"2020-06-01","2차전지 소재 '엔켐' 김경훈 신임 사장 내정","두고 신성장 동력 발굴도 시도할 것”이라고 밝혔다.  엔켐은 2차 전지 소재 중 필수 요소 중 하나인 '전해액'을 독자 연구개발하고 있다.  전해액은 리튬이온 전지에서 리튬이온을 운반하는 역할이다.  LG화학과 SK이노베이션 등 대기업에 소재를 납품하고 있어 업계의 '블루칩'으로 평가받고 있다.  연내 코스닥시장에 입성하고자 기업공개 절차를 준비하고 있다.  그동안 엔켐의 오정강 대표는 전해액 연구 개발과 함께 경영의 일선에서 엔켐의"
"2020-06-01","""""주식투자가 이렇게 쉽다니..""""","귀추가 주목된다.     최근 핫이슈 종목  알테오젠, 메디톡스, 일양약품, SK이노베이션, 삼천리자전거, 서연, 두산중공업, 고려산업, 한진칼, 남선알미늄"
"2020-06-01","'SK이노베이션' 5% 이상 상승, 점진적인 업황회복, 배터리 불확실성만 해소 된다면 - 하이투자증권, BUY","최근 애널리스트 분석의견  - 점진적인 업황회복, 배터리 불확실성만 해소 된다면 - 하이투자증권, BUY  06월 01일 하이투자증권의 원민석 애널리스트는 SK이노베이션에 대해 """"첫째로, 국제 유가의 완만한 회복에 따라 동사의 재고관련 손익 및 1M Lag 정제마진도 안정적인 흐름을 보일것. 둘째로, 4/5 사우디OSP 하락이 5/6 정제마진에 반영되며 2Q20 실적방어에 기여할 것. 마지막으로, 3Q20부터는 업황 개선 효과를 기반으로"
"2020-05-31","사상 첫 온라인 '삼성고시'…""""집에서 치러 울렁증 사라졌어요""""","관계자는 “4차 산업혁명 시대에 온라인 시험은 언젠가 가야 할 길”이라며 “부족한 부분을 보완해 사회적 비용을 줄이고 응시생의 만족도를 높이는 시험으로 향상시킬 것”이라고 말했다. SK이노베이션 등 일부 기업이 온라인으로 인성검사를 본 적은 있지만, 입사시험 자체를 온라인으로 치른 것은 삼성이 처음이다. 한 대기업 인사 담당자는 “삼성의 온라인 GSAT이 성공적으로 치러지면서 향후 다른 대기업들도 온라인 필기시험을"
"2020-05-31","'석유화학' 롯데케미칼…신사업 M&A 나선다","국내 1위 에틸렌 생산 회사인 롯데케미칼의 고민이 깊어지고 있다. 신종 코로나바이러스 감염증 시장에서 신사업 진출을 노리며 본격적인 사업군 이동에 나설 채비에 들어갔다.  매출"
"2020-05-31","SK이노베이션 그린 뉴딜·4차 산업혁명 수혜주 등","안인기-SK이노베이션  코로나19에 따른 글로벌 지역 봉쇄로 급격하게 악화한 정유업 이익의 핵심 변수 두 가지가 동반 회복할 것으로 기대되고 있다. 축소되지 않은 적자폭과 경쟁사와의 소송으로 인해 배터리사업은 주가에 할인 요소로 작용 중이다. 미국 국제무역위원회 이전 합의 가능성은 여전히 높은 것으로 추정한다. 올 하반기 출시될 폭스바겐의 MEB 플랫폼 차량 및 2021년부터 축소될 적자폭으로 배터리 사업의 성장 모멘텀이 점차"
"2020-05-31","베이징차, 프리미엄 EV 공개하고 한국도 저울질","기술을 적용한 비즈니스 IMC'가 생산한 삼원계 배터리를 얹어 1회 충전 주행거리 653㎞를 달릴 수 있어 경쟁차들에 비해 유리하다고 회사측은 강조했다.  알파-T의 예약 판매가격은 28만 위안(한화 약 4,800만"
"2020-05-31","글로벌 소비지표 조금씩 살아나…하반기 실적개선주 미리 '찜'",";고 설명했다.  한국경제TV 전문가인 김남귀 파트너는 삼성SDI를 추천 종목으로 꼽았다. 경쟁사 LG화학 및 SK이노베이션과 비교했을 때 2차전지의 사업비중이 높은 순수사업자라는 측면에서 실적 개선이 보다 확실하다는 평가다. 에프앤가이드에 ... 무역분쟁 등 외부 마찰에 영향을 받지 않을 것”이라고 평가했다.  바이오 종목 가운데서는 삼성바이오로직스와 SK그룹 지주사인 SK가 추천종목으로 꼽혔다. SK는 자회사인 SK바이오팜 상장을 앞두고 주가가 25만원대까지 치솟았다."
"2020-05-31","사상 첫 온라인 삼성고시 무사히 끝나…새 트렌드 될까","'뉴노멀'로 자리 잡을 가능성도 커지고 있다.  이미 코로나19 여파로 면접만큼은 화상으로 진행하는 기업들이 늘고 있다.  CJ는 이번 상반기 그룹 공채에서 코로나 예방을 위해 웹캠을 통한 비대면 면접을 추진하기로 했다.  SK이노베이션도 코로나 여파로 잠정 중단했던 채용을 시작하면서 화상 면접을 도입했고, LG전자와 카카오 등도 경력직 또는 상시채용 지원자에 대해 화상 면접을 진행했다.  재계의 한 관계자는 """"이번에 삼성은 면접뿐만 아니라 대규모 필기시험도 온라인으로"
"2020-05-31","""""온라인 GSAT 체감 난도 증가""""…""""시간·경제적 비용 줄인 채용 혁신""""","것으로 평가됐다. 삼성 관계자는 “4차 산업혁명 시대에 온라인 시험은 언젠가 가야할 길”라면서 “부족한 부분을 보완해 사회적 비용을 줄이고 응시생의 만족을 높이는 시험으로 향상시킬 것”이라고 말했다. SK이노베이션 등 일부 기업들이 온라인으로 인성검사를 실시한 적은 있지만, 적성검사를 실시한 것은 삼성이 처음이다.  삼성은 신종 코로나 바이러스 감염증 공채 필기시험을 창사 이래 처음으로 온라인으로"
"2020-05-29","삼성SDI+현대차, 삼성전자+이마트…삼성 '신협력시대'","등이 결합한 융합산업이 미래 먹거리로 떠오르면서 이종 이동통신 기술을 활용한 자율운항 선박 연구에 나섰고, LG전자는 네이버와 로봇 연구개발을 추진 ... 만난 게 대표 사례로 꼽힌다.  현대차는 다른 한국 배터리 업체들과도 끈끈한 관계를 유지하고 있다. 지난해 12월 SK이노베이션을 1차 공급사로 선정했고 2022년 출시되는 차종에도 LG화학 배터리를 쓰기로 했다. 글로벌 전기차 시장이 올해"
"2020-05-29","SK이노베이션·SK인천석유화학, 영업손실에 투자 부담까지…등급전망 '부정적'으로","기사는 05월28일 단위의 투자 부담까지 맞물려 사업·재무 상태가 빠르게 나빠지고 있어서다.  한국기업평가가 28일 SK이노베이션과 SK인천석유화학의 신용등급 전망을 종전 안정적에서 부정적으로 바꿔 달았다. SK이노베이션은 최고 신용등급인 AAA의 바로"
"2020-05-28","현대·기아차, 2022년 출시 전기차에 LG화학 배터리도 쓴다","규모 등은 생산량에 따라 결정될 것이라고 말했다. 배터리 업체 선정은 모델별로 진행하기 때문에 2022년에 나올 전기차 중 다른 모델에는 다른 회사 배터리가 선정될 수 있다고 현대·기아차는 말했다. 현대·기아차는 작년 12월에는 SK이노베이션을 현대차의 NE 등의 배터리 공급사로 선정했다. 내년에 나올 NE와 CV는 전기차 전용 플랫폼인 'E-GMP'를 기반으로 한다.  일각에서는 최근 이재용 삼성 부회장과 정의선 현대차 수석부회장의"
"2020-05-28","“목표주가 상향” 언택트시대 온라인복지 관련주 BEST3","카카오,NHN한국사이버결제를 비롯하여 국내 언택트 소비 관련주의 평균 per이 51.4배이며 글로벌 주도 복지 관련회사인 Edenred 33.4배, Benefit One 59.3배를 고려한다면 상당히 저평가 되어있음을 알 수 있다.  이 종목이 궁금한 투자자라면 지금바로 링크를 클릭, 무료체험을 신청해보기 바란다.  ☞ 저평가 구간에서 급등을 기다리는 이 결제 관련주는?   카카오, 디피씨, 유니온머티리얼, 카카오, SK이노베이션"
"2020-05-28","이찬 교수 """"코로나 이후 성과 관리 혁신해야""""","열린 ‘한경 HR리더스 포럼’ 출범식 강연자로 나선 이찬 서울대 산업인력개발학 교수는 ‘포스트 코로나 시대 조직의 전략’을 주제로 한 특강에서 이같이 말했다.  이 교수는 이어 SK이노베이션 일부 부서의 ‘1주 출근·3주 재택’이나 NHN의 ‘매주 수요일 회사밖 근무’ 사례를 소개하면서 “미래 일터의 변화를 코로나가 앞당겼을 뿐”이라며 “변화에"
"2020-05-28","홍콩 경유해 중국 가는 반도체 등 물류비 증가","한국의 작년 대홍콩 수출 1위 품목은 반도체로 수출액이 222억달러에 달했다. 이 중 약 80%는 삼성전자와 SK하이닉스의 주력 제품인 메모리 반도체다. 홍콩에 수출된 반도체의 90% 이상은 중국으로 재수출됐다.  홍콩은 달러화 ... 늘리는 것도 반도체업계엔 부담이다.  중국에서 제조한 제품을 홍콩을 거쳐 미국으로 수출하는 데도 타격이 예상된다. SK이노베이션과 LG화학 등은 중국 공장에서 생산한 석유화학제품을 홍콩을 거쳐 미국으로 수출해왔다. 미국이 홍콩산 제품에 대해서는"
"2020-05-28","소외주의 반격…은행·철강·반도체 들썩","보였다.  반도체 집중하는 외국인  이날 외국인과 기관이 은행주를 사들이긴 했지만 가장 많이 사들인 종목은 삼성전자와 SK하이닉스였다. 외국인과 기관은 각각 전기·전자 업종을 1627억원, 3123억원어치 순매수했다. 미국 ... 있다. 연기금은 이번주 네이버와 카카오를 각각 1551억원, 255억원 순매도하며 차익을 실현했다. 같은 기간 SK이노베이션 등을"
"2020-05-28","지금 시장이 집중하고 있는 키워드는 이낙연, 그린뉴딜, 2차전지 등",""
"2020-05-28","중국 매체, 연일 한중 기업인 '신속통로' 효과 선전 눈길","감염증 사태 속에 한중 기업인의 상호 입국 절차를 간소화한 '신속통로' 제도의 효과를 연일 선전해 눈길을 끈다.  글로벌타임스는 양국 간의 신속통로가 필수 인력이 업무에 복귀할 수 있게 해 준다고 28일 보도했다.  신문은 SK이노베이션과 SK하이닉스가 중국에서 각각 반도체와 배터리 분야 투자를 늘리고 있다면서 이 때문에 정상적인 생산과 운영을 위해 엔지니어들이 조속히 중국 내 공장으로 돌아와야 했다고 전했다.  이들 업체는 """"중국과 한국 정부가 코로나19의 영향을"
"2020-05-28","현대·기아 차세대 전기차, LG화학 배터리 장착한다","2022년에 나올 다른 모델에는 다른 회사가 생산하는 배터리를 선정할 수 있다고 현대·기아차는 설명했다.  현대·기아차는 지난해 12월 현대차의 NE 등에 장착할 배터리 공급사로 SK이노베이션을 선정한 바 있다. 이번에 선정한 LG화학의 배터리는 이 중 일부 모델에 적용될 것으로 알려졌다.  현대차그룹은 2021년 양산을 목표로 전기차 전용 플랫폼인 E-GMP를 개발했다. E-GMP는 현대차그룹의 첫 전기차 전용 플랫폼이다."
"2020-05-27","“목표주가 상향” 영업이익 50%급등 실적주 TOP3","우위에 있어서 향후 업종 주가 상승에서 주도의 역할을 할 수 있는 기업이 될 것이며 작년 말부터 ‘쉬안즈’와의 서부 영업망 통합이 시작되어 시너지까지 기대 되고 있다.  ☞☞ 상온 HMR 기대감을 지닌 바이오 부문과 K푸드 수혜를 동시에 받을 이 기업은?    치료효과 확인임박! 코로나 정복, 주가 최소 70% 날아간다!   LG화학, SK이노베이션, 한진칼, 서울반도체, 엠에스오토텍"
"2020-05-27","현대·기아차, 2022년 출시 전기차에 LG화학 배터리도 쓴다","등은 생산량에 따라 결정될 것이라고 말했다.  배터리 업체 선정은 모델별로 진행하기 때문에 2022년에 나올 전기차 중 다른 모델에는 다른 회사 배터리가 선정될 수 있다고 현대·기아차는 말했다.  현대·기아차는 작년 12월에는 SK이노베이션을 현대차의 NE 등의 배터리 공급사로 선정했다.  내년에 나올 NE와 CV는 전기차 전용 플랫폼인 'E-GMP'를 기반으로 한다.  일각에서는 최근 이재용 삼성 부회장과 정의선 현대차 수석부회장의"
"2020-05-27","27일, 외국인 거래소에서 삼성SDI 등 순매도","등을 중점적으로 매도한 것으로 나타났다.  외국인 투자자의 순매도 상위 20개 종목은 삼성SDI, NAVER, LG화학, SK, 삼성전자우, SK하이닉스, 삼성바이오로직스, DB하이텍, KODEX 레버리지, 호텔신라등이다.  이중에 전기,전자 업종에 속한 종목이 5개 포함되어 있다.  KODEX 레버리지, 한국금융지주, SK이노베이션 등은 전일 대비 주가가 상승했고, 삼성SDI, NAVER, LG화학 등은 주가가 하락했다.  거래소 외국인"
"2020-05-27","배당주 투자 늘리는 5060세대 """"연금처럼 따박따박…배당 받아 노후대비""""","우량한 회사를 선택하는 게 낫다”고 말했다. 부채비율이나 이자보상배율이 너무 높은 종목도 피해야 한다.  적절하게 분산투자를 하는 것도 필요하다. 이모씨을 분산하기 위해서다.  이씨의 투자를 컨설팅한 한 증권사 직원은 “배당을 잘 주면서도 거래가 많은 종목 위주로"
"2020-05-27","한기평, SK이노베이션 신용등급전망 '안정적→부정적' 하향","한국기업평가는 SK이노베이션 무보증사채의 신용등급 전망도 '안정적'에서 '부정적'으로 하향했다.  앞서 한국신용평가도 지난"
"2020-05-27","정유업계, 미증유 악재에 4.4조 적자로 몸살","역대 최악의 1분기 실적을 내며 주저앉았다. 국제유가 흐름 따라 널뛰기 실적을 보이다가 결국은 뇌관이 터졌다. SK이노베이션·GS칼텍스·S-OIL·현대오일뱅크 등 정유 4사의 올 1분기 합산 영업손실이 역대 최악으로 평가됐던 2014년 4분기와 ... 적자가 늘었다.  세전손실액은 2조원에 달했는데 영업외손실이 2720억원으로 전년보다 2200억원 가량 증가했다. SK종합화학과 중국 시노펙과의 우한 합작법인이 1218억원의 순손실을 내 이노베이션의 지분법이익이 적자로 돌아선 영향이"
"2020-05-27","무역보험공사, 신산업 육성 박차…올해 4월까지 5조원 지원","무역보험공사 사장이 27일 충북 청주 수출 중소기업인 ㈜클레버를 찾았다.  코로나19로 어려워진 수출 현장을 직접 살피고 신산업 육성을 위한 생생한 목소리를 듣기 위해서다.  클레버는 2차전지 생산을 위한 마감 공정인 폴딩 설비를 제작해 SK이노베이션 해외 사업장에 주로 공급한다.  무역보험공사는 2차전지를 비롯한 12대 신산업 육성을 위해 2018년 11조9천억원, 지난해 14조2천억 원 등 해마다 지원을 늘리고 있다.  올해도 4월까지 5조1천억원을 지원했다.  작년 같은 기간보다"
"2020-05-27","오늘도 계속되는 “상한가 행진”!","20만명 넘는 투자자들이 입장해서 도움을 받고 있다.  → 최근 핫이슈 종목  SK이노베이션, 카카오, 삼성전자, 두산퓨얼셀, 서울바이오시스, 서울반도체, 한국정보인증, 에코프로비엠, 고려제약, 세화아이엠씨"
"2020-05-27","""""주식투자가 이렇게 쉽다니..""""","주목된다.     최근 핫이슈 종목  대한과학, 파미셀, 카카오, 씨젠, 셀트리온, SK이노베이션, 디피씨, 에코프로비엠, 두산퓨얼셀, 삼성바이오로직스"
"2020-05-27","'SK이노베이션' 5% 이상 상승, 정유와 배터리 모두 하반기 모멘텀 개선 - BNK투자증권, BUY","최근 애널리스트 분석의견  - 정유와 배터리 모두 하반기 모멘텀 개선 - BNK투자증권, BUY  05월 22일 BNK투자증권의 김현태 애널리스트는 SK이노베이션에 대해 """"4월 정제마진이 부진해 적자가 예상되나, ① 저가법손실 선반영, 유가 반등으로 재고손실 부담이 축소되고, ② 5~6월 lagging 마진이 크게 개선돼 적자가 크게 감소할 전망. 석화 역시 납사 재고평가 손실이 1분기에 대거 반영됐고, 이후 가격이 안정화돼 정상적인 이익 수준으로"
"2020-05-27","2차전지 강세에 관련 ETF '급등'…전기 타고 질주","수혜를 얻을 수 있는 ETF에 관심을 두는 것이 유리하다""""고도 조언했다.  최근 2차 전지 관련주는 증시를 뜨겁게 달구고 있다. 2차전지 대표주인 삼성SDI는 11% 급등하며 52주 최고가를 새로 썼다. SK이노베이션도 14% 올랐고, LG화학과 두산솔루스는 5~6% 강세를 보였다. 연일 신고가를 경신 중인 에코프로비엠은 이달 들어 단 4거래일을 제외하고 상승 중이다.  2차전지 관련주가 뜀박질을 시작한 건 주요국들이 코로나19 사태로 인한 경기침체를"
"2020-05-27","삼성증권 """"SK 목표주가 34만7천원…53% 상향""""","삼성증권은 27일 자회사 SK바이오팜이 상장을 추진 중인 SK에 대해 투자의견 '매수', 목표주가를 34만7천원으로 제시했다.  기존 목표주가 22만7천원보다 53%, 지난 26일 종가 25만9천원보다 34% 높은 수준이다.  ... """"SK바이오팜의 지분 가치를 기존 장부가치 4천790억원에서 공모가 중간금액을 적용한 2조5천원으로 상향 조정했고, SK이노베이션 등 주요 자회사의 목표주가를 상향 조정해 상승 요인이 발생했다""""고 설명했다.  특히, SK의 주가의 지속적인 상승"
"2020-05-27","오늘 '상한가 종목', 알고 보니 어제 추천받았네","코로나-19로 시작된 주가 하락으로 ‘지금이 저점’이라는 생각으로 주식 초심자들이 대거 몰려들고 있다. 주식 시작부터 검증된 주식 전문가의 도움을 받는다면 주식수익이 더 이상 꿈이 아닌 현실이 될 것이다. 주식수익을 꿈꾼다면 주저하지 말고 한국TV 주식카톡방에 입장할 것을 권한다.  오늘의 추천주  명문제약, SK이노베이션, 디피씨, 두산퓨얼셀, 조아제약, 아난티, 시큐브, 한국정보인증, LG화학, 한진칼"
"2020-05-26","26일, 기관 거래소에서 KODEX 레버리지 등 순매수","기관 투자자는 26일 거래소에서 KODEX 레버리지, 삼성전자, LG화학 등을 중점적으로 사들인 것으로 나타났다.  기관 투자자의 순매수 상위 20개 종목은 KODEX 레버리지, 삼성전자, LG화학, SK이노베이션, S-Oil, 현대차, 기아차, KB금융, 현대모비스, KODEX WTI원유선물등이다.  이중에 화학 업종에 속한 종목이 4개 포함되어 있다.  KODEX 레버리지, 삼성전자, LG화학 등은 전일 대비 주가가 상승했고, KT&G,"
"2020-05-26","“상한가가 또 터졌다.”","20만명 넘는 투자자들이 입장해서 도움을 받고 있다.  → 최근 핫이슈 종목  SK이노베이션, LG화학, 카카오, 삼성전자, 삼성SDI, 명문제약, 고려제약, 삼성바이오로직스, 두산퓨얼셀, 서울반도체"
"2020-05-26","그린 뉴딜 올라탄 2차전지주 ''","삼성SDI LG화학 SK이노베이션 등 배터리주가 급등했다. 각국이 신종 코로나바이러스 감염증이 높지만 주가 상승 호재가 여전히 많다는 게 증권가의 분석이다."
"2020-05-26","SK이노베이션-환경부, 친환경 사업 아이템 공모전 개최","SK이노베이션은 환경부, 한국사회적기업진흥원, 사단법인 신나는조합과 함께 '환경 분야 소셜 비즈니스 발굴 공모전'을 개최한다고 26일 발표했다.  모집 대상은 환경문제를 해결할 기술, 제품, 서비스 등을 가지고 있거나 사업화 가능한 아이템이 있는 소셜벤처와 사회적경제기업이다.  공모 주제는 자원 순환 지속가능한 환경 지속가능한 자원 배터리·모빌리티 등이다. 접수 기간은 내달 10일까지다.  SK이노베이션은 적합성,"
"2020-05-26","'SK이노베이션우' 5% 이상 상승, 단기·중기 이평선 정배열로 상승세","단기·중기 이평선 정배열로 상승세  차트상 주가의 흐름은 현재 단기·중기 이평선이 정배열 상태로 상승세를 보이고 있다.  이 종목의 차트에서 최근에 최근 60일 매물대 돌파, 주가 5MA 상향돌파 등을 확인할 수 있다  SK이노베이션우 차트 분석   주체별 매매동향  - 외국인과 개인의 거래비중 높음, 각각 13.4%, 83.1%   지난 한달을 기준으로 보면 외국인이 7,116주를 순매수한 반면, 기관은 1,439주를 순매도했고, 개인들도 4,521주를"
"2020-05-26","'SK' 5% 이상 상승, 전일 기관 대량 순매수","3일 연속 14.2만주 순매도를 하고 있다. 더욱이 전일 기관이 대량 순매수를 하고 있어 투자자들의 관심이 집중되고 있다.  SK 외국인/기관 매매동향   최근 애널리스트 분석의견  - 현실이 된 잠재적 호재 - IBK투자증권, BUY  05월 25일 IBK투자증권의 김장원 애널리스트는 SK에 대해 """"2020년 1분기 연결 실적은 매출 감소와 함께 적자를 기록했다. 계열사 이노베이션의실적이 부진했기 때문으로 이유는 유가때문이다""""라고"
"2020-05-26","대학생이 가장 일하고 싶은 기업은유료","기업’ 전기·전자 부문 1위로 10년 연속 삼성전자로 SK그룹 계열사가 각각 1위에 랭크됐다. 철강&mi"
