"날짜","종가","전일비","시가","고가","저가","거래량"
"2019.12.19","123,500","500","122,500","123,500","122,000","905,299"
"2019.12.18","123,000","1,000","122,000","123,500","120,500","1,135,407"
"2019.12.17","122,000","3,000","119,500","123,000","119,000","1,904,603"
"2019.12.16","119,000","2,000","120,500","121,000","119,000","1,015,046"
"2019.12.13","121,000","1,000","121,500","122,500","119,500","1,058,172"
"2019.12.12","120,000","1,000","119,500","120,500","119,000","5,201,616"
"2019.12.11","119,000","1,000","120,500","120,500","119,000","1,015,977"
"2019.12.10","120,000","500","119,500","120,500","119,000","784,383"
"2019.12.09","119,500","1,000","119,500","120,500","119,000","902,113"
"2019.12.06","118,500","500","118,500","119,500","118,000","1,504,634"
"2019.12.05","118,000","4,000","121,500","122,500","117,500","1,560,647"
"2019.12.04","122,000","500","120,000","124,000","120,000","1,498,918"
"2019.12.03","121,500","0","120,000","121,500","119,000","849,994"
"2019.12.02","121,500","500","121,000","121,500","118,500","862,135"
"2019.11.29","121,000","3,000","123,500","124,500","120,000","1,016,506"
"2019.11.28","124,000","500","123,500","125,000","123,000","742,295"
"2019.11.27","123,500","1,000","123,000","124,000","123,000","697,261"
"2019.11.26","122,500","2,500","124,500","125,500","122,500","1,854,318"
"2019.11.25","125,000","1,500","124,000","125,500","123,500","640,837"
"2019.11.22","123,500","1,000","124,000","125,500","123,500","707,333"
"2019.11.21","124,500","0","124,000","124,500","123,000","724,349"
"2019.11.20","124,500","500","124,500","124,500","123,500","593,391"
"2019.11.19","125,000","1,000","125,000","126,000","124,500","537,780"
"2019.11.18","126,000","500","125,000","126,000","124,500","596,279"
"2019.11.15","125,500","1,000","124,500","125,500","124,000","469,109"
"2019.11.14","124,500","0","125,000","125,000","124,000","540,352"
"2019.11.13","124,500","1,000","125,000","126,000","124,500","528,121"
"2019.11.12","125,500","2,000","123,500","125,500","123,500","598,855"
"2019.11.11","123,500","500","124,000","124,500","123,500","370,258"
"2019.11.08","124,000","500","124,000","124,500","123,500","335,809"
"2019.11.07","123,500","0","123,500","124,500","123,000","853,783"
"2019.11.06","123,500","1,500","125,500","126,000","123,500","682,414"
"2019.11.05","125,000","1,000","124,000","125,500","124,000","471,601"
"2019.11.04","124,000","0","123,500","125,000","123,000","475,831"
"2019.11.01","124,000","2,000","121,500","124,000","121,000","470,554"
"2019.10.31","122,000","500","122,500","123,500","121,500","441,488"
"2019.10.30","122,500","0","122,500","123,000","121,500","400,285"
"2019.10.29","122,500","1,000","122,000","123,000","121,500","797,389"
"2019.10.28","121,500","2,000","124,500","125,000","121,500","564,300"
"2019.10.25","123,500","1,500","122,000","124,000","121,500","983,777"
"2019.10.24","122,000","1,000","121,000","122,500","120,000","655,232"
"2019.10.23","121,000","1,000","121,500","122,500","120,500","511,570"
"2019.10.22","122,000","0","121,500","122,500","120,000","523,445"
"2019.10.21","122,000","1,000","124,000","124,000","122,000","372,561"
"2019.10.18","123,000","0","123,500","124,500","122,500","418,395"
"2019.10.17","123,000","0","123,000","124,500","122,000","519,468"
"2019.10.16","123,000","1,000","123,000","124,000","122,000","433,874"
"2019.10.15","122,000","0","122,000","123,000","120,500","661,262"
"2019.10.14","122,000","4,000","125,000","126,000","122,000","1,260,866"
"2019.10.11","126,000","500","127,000","127,500","126,000","369,552"
"2019.10.10","126,500","3,000","127,000","128,000","125,500","771,396"
"2019.10.08","129,500","1,500","128,000","130,500","127,500","391,115"
"2019.10.07","128,000","1,500","128,000","129,000","127,000","258,951"
"2019.10.04","126,500","2,000","129,500","130,000","126,500","488,988"
"2019.10.02","128,500","4,000","131,000","131,500","128,000","448,012"
"2019.10.01","132,500","1,500","134,000","134,000","131,500","388,512"
"2019.09.30","134,000","500","133,500","135,500","133,000","429,631"
"2019.09.27","133,500","500","134,000","134,000","131,000","348,902"
"2019.09.26","133,000","1,500","136,000","136,500","132,000","453,068"
"2019.09.25","134,500","500","133,000","135,000","131,500","448,004"
"2019.09.24","134,000","1,000","134,000","135,000","132,000","615,506"
"2019.09.23","133,000","3,500","129,500","133,500","129,000","1,007,214"
"2019.09.20","129,500","500","128,500","130,500","128,000","718,752"
"2019.09.19","129,000","1,500","127,500","129,000","126,500","618,746"
"2019.09.18","127,500","1,500","126,000","128,500","125,500","537,604"
"2019.09.17","126,000","2,000","127,500","128,000","125,500","610,086"
"2019.09.16","128,000","1,000","128,500","129,500","126,000","777,956"
"2019.09.11","129,000","1,000","128,500","129,000","127,500","756,459"
"2019.09.10","128,000","1,000","127,000","128,500","126,500","458,487"
"2019.09.09","127,000","500","127,500","128,500","126,000","378,542"
"2019.09.06","127,500","500","128,000","128,500","126,500","380,856"
"2019.09.05","128,000","500","128,000","129,000","127,000","478,990"
"2019.09.04","128,500","0","128,000","129,000","127,000","496,326"
"2019.09.03","128,500","2,500","131,500","132,000","127,500","505,454"
"2019.09.02","131,000","2,500","128,000","132,000","127,500","385,326"
"2019.08.30","128,500","2,000","127,500","129,000","127,000","433,515"
"2019.08.29","126,500","1,000","127,500","128,000","126,000","393,472"
"2019.08.28","127,500","2,500","128,500","130,500","127,000","766,622"
"2019.08.27","125,000","500","125,000","126,500","124,000","1,043,657"
"2019.08.26","124,500","1,500","124,000","126,000","123,500","391,828"
"2019.08.23","126,000","2,000","123,000","126,000","123,000","256,322"
"2019.08.22","124,000","1,500","126,000","126,500","124,000","480,559"
"2019.08.21","125,500","1,000","126,500","127,500","124,000","530,685"
"2019.08.20","126,500","1,500","127,500","128,500","125,000","481,643"
"2019.08.19","128,000","0","127,500","129,500","127,500","242,024"
"2019.08.16","128,000","500","126,500","128,000","125,000","352,114"
"2019.08.14","127,500","1,500","130,000","131,500","127,000","614,128"
"2019.08.13","129,000","2,000","129,500","131,000","129,000","334,053"
"2019.08.12","131,000","1,500","131,000","132,500","130,000","350,563"
"2019.08.09","132,500","2,500","131,500","132,500","129,000","521,574"
"2019.08.08","130,000","3,000","129,000","132,500","128,500","1,303,906"
